Name,Country,Links,government,1.1. App has defined lifetime,1.2. Data storage is time-limited,2.1. Opt-in download and use,2.2. Opt-in data sharing,2.3. Not tied to other benefits,3.1. Data used only for establishing contacts,3.2. No PII collection,4.1. Open source,4.2. Published privacy policy,5.1. Freely available,5.2. Android and iOS (when necessary),6.1. Decentralized storage,6.2. Can erase data,7.1. Decentralized matching,7.2. Rotating randomized beacon,"8.1. Contact accuracy (BLE, not GPS or other)",8.2. Positive cases verified by test,protocol,Installs (Google Play),Average Rating (Google Play),who_region,status,date_released,date_cancelled
MySejahtera,Malaysia,https://mysejahtera.malaysia.gov.my/intro_en/,yes,no,no,yes,yes,unknown,no,no,no,yes,yes,both,no,yes,no,no,gps + qr code,unknown,none,"1,000,000",4.7,SEARO,released,2020-03-27,
COVID Alert Malta,Malta,https://covidalert.gov.mt/,yes,no,14 days,yes,yes,yes,yes,yes,yes,yes,yes,both,yes,yes,yes,yes,ble,yes,DP3T,"50,000",4.3,EURO,released,2020-09-02,
CovidRadar,Mexico,http://covidradar.mx/,yes,no,unknown,yes,yes,unknown,unknown,yes,no,yes,yes,both,unknown,unknown,unknown,unknown,ble,unknown,none,,,LATAM,released,2020-04-19,
Wiqaytna,Morocco,https://www.wiqaytna.ma/Default_Fr.aspx,yes,yes,21 days,yes,yes,yes,yes,no,yes,yes,yes,both,yes,yes,yes,yes,ble,yes,none,"1,000,000",4.3,EMRO,released,2020-05-31,
PrivateTracer,Netherlands,https://www.privatetracer.org/,no,unknown,unknown,yes,yes,yes,yes,no,yes,no,yes,both,yes,yes,yes,yes,ble,unknown,DP3T,,,EURO,cancelled,,
CoronaMelder,Netherlands,https://www.coronamelder.nl/en/,yes,no,14 days,yes,yes,yes,yes,yes,no,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"1,000,000",3.0,EURO,released,2020-08-15,
NZ COVID Tracer,New Zealand,https://tracing.covid19.govt.nz/,yes,unknown,31 days,yes,yes,unknown,yes,no,no,yes,yes,both,yes,yes,no,na,qr code,yes,none,"100,000",2.2,WPRO,released,2020-05-20,
StopKorona!,North Macedonia,https://stop.koronavirus.gov.mk/,yes,no,14 days,yes,yes,yes,yes,no,no,yes,yes,both,yes,yes,no,no,ble,yes,none,"50,000",3.1,EURO,released,2020-04-12,
StopCOVID NI,Northern Ireland,https://covid-19.hscni.net/stop-covid-ni-mobile-app/,yes,no,14 days,yes,yes,yes,yes,yes,yes,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"100,000",3.3,EURO,released,2020-07-28,
Smittestopp,Norway,https://helsenorge.no/smittestopp,yes,yes,30 days,yes,yes,yes,no (modelling),no,no,yes,yes,both,no,yes,no,no,ble + gps,yes,none,"100,000",2.2,EURO,released,2020-04-16,
PeruEnTusManos,Peru,https://play.google.com/store/apps/details?id=peruentusmanos.gob.pe,yes,no,14 days,yes,yes,unknown,no,no,no,no,yes,both,no,unknown,no,unknown,ble + gps,no (self-diagnosis),none,"1,000,000",2.9,LATAM,released,2020-04-03,
"
StaySafe PH",Philippines,https://www.staysafe.ph/,no,no,no,yes,yes,unknown,no (modelling),no,no,yes,yes,both,no,maybe,no,no,gps,unknown,none,"100,000",3.9,WPRO,released,2020-05-04,
ENDCoV,Philippines,https://endcov.org/,no,no,unknown,yes,yes,unknown,no (heatmap),no,no,yes,yes,android only,no,unknown,unknown,na,gps,unknown,none,"5,000",3.8,WPRO,released,2020-03-27,
WeTrace PH,Philippines,https://www.wetrace.ph/,yes,no,30 days,no,no,unknown,unknown,no,no,no,yes,both,unknown,unknown,unknown,na,gps,yes,none,"5,000",3.2,WPRO,released,2020-04-05,
ProteGO Safe,Poland,https://play.google.com/store/apps/details?id=pl.gov.mc.protegosafe&hl=en_US,yes,no,14 days,yes,yes,yes,yes,yes,yes,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"100,000",3.1,EURO,released,2020-04-19,
STAYAWAY COVID,Portugal,https://stayawaycovid.pt/landing-page/,yes,no,14 days,yes,yes,yes,yes,yes,no,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"1,000,000",2.8,EURO,released,2020-08-20,
Ehteraz,Qatar,https://portal.www.gov.qa/wps/portal/media-center/news/news-details/todeterminecoronavirustransmissionchainsehterazappisnowavailablefordownload,yes,no,no,no,no,no,unknown,no,no,no,yes,both,no,no,no,unknown,ble + gps,unknown,none,"1,000,000",3.7,EMRO,released,2020-04-25,
Contact Tracer,Russia,https://contacttracer.ru/,no,no,no,no,no,no,no,no,no,no,no,both,no,no,no,no,ble + gps,unknown,none,,,EURO,released,,
Social Monitoring,Russia,https://play.google.com/store/apps/details?id=ru.mos.app,yes,no,no,no,no,no,no (quarantine),no,no,yes,yes,both,no,no,na,na,gps,yes,none,"500,000",4.1,EURO,released,2020-03-25,
Tabaud,Saudi Arabia,https://tabaud.sdaia.gov.sa/,yes,no,14 days,yes,yes,yes,yes,yes,no,yes,yes,both,yes,yes,yes,yes,ble,unknown,Apple/Google,"500,000",4.4,EMRO,released,2020-06-12,
Tawakkalna,Saudi Arabia,https://play.google.com/store/apps/details?id=sa.gov.nic.tawakkalna&hl=en_CA,yes,no,no,no,no,no,no,no,no,no,yes,both,no,no,no,na,gps,unknown,none,"1,000,000",4.7,EMRO,released,2020-04-06,
Protect Scotland,Scotland,https://protect.scot/,yes,no,14 days,yes,yes,yes,yes,yes,yes,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"500,000",3.7,EURO,released,2020-09-06,
Daancovid19,Senegal,https://daancovid19.sn/,yes,unknown,15 days,yes,yes,unknown,yes,unknown,yes,yes,yes,android only,yes,yes,yes,yes,ble,unknown,Whisper,,,AFRO,cancelled,,
TraceTogether,Singapore,https://www.tracetogether.gov.sg/,yes,yes,25 days,yes,yes,yes,yes,no,yes,yes,yes,both,yes,yes,no,yes,ble,yes,OpenTrace,"1,000,000",4.2,WPRO,released,2020-02-18,
CovCT,Singapore,https://covct.org/,no,no,no,no,no,yes,yes,no,no,yes,yes,both,no,yes,no,na,qr code,yes,none,,,WPRO,released,,
Zostaň Zdravý,Slovakia,https://www.zostanzdravy.sk/,no,no,14 days,yes,yes,unknown,unknown,no,no,yes,yes,both,unknown,unknown,no,unknown,ble,unknown,none,,,EURO,released,2020-03-16,
#OstaniZdrav,Slovenia,https://www.gov.si/en/topics/coronavirus-disease-covid-19/the-ostanizdrav-mobile-application/,yes,no,14 days,yes,yes,yes,yes,yes,no,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"100,000",2.2,EURO,released,2020-08-11,
Covi-ID,South Africa,https://coviid.me/,no,no,unknown,yes,yes,no (public spaces),yes,yes,yes,yes,yes,both,yes,yes,yes,na,qr code,yes,none,100,,AFRO,cancelled,2020-04-30,
COVID Alert South Africa,South Africa,https://sacoronavirus.co.za/covidalert/,yes,no,14 days,yes,yes,yes,yes,yes,no,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"1,000,000",3.5,AFRO,released,2020-08-16,
Corona 100m (Co100),South Korea,https://play.google.com/store/apps/details?id=com.tina3d.corona100m&hl=en_US,yes,no,unknown,yes,yes,unknown,no (heatmap),no,no,yes,yes,both,no,unknown,no,no,ble + gps,yes,none,,,WPRO,released,,
Open Coronavirus,Spain,https://opencoronavirus.app/,no,no,14 days,yes,yes,no (digital passport),yes,unknown,yes,yes,yes,both,yes,yes,yes,yes,ble,yes,DP3T,,,EURO,released,,
Radar COVID,Spain,https://radarcovid.gob.es/,yes,no,14 days,yes,yes,yes,yes,yes,yes,yes,yes,both,yes,yes,yes,yes,ble,yes,DP3T,"1,000,000",2.8,EURO,released,2020-06-27,
WeTrace,Switzerland,https://wetrace.ch/,no,no,14 days,yes,yes,unknown,yes,yes,yes,yes,yes,both,yes,yes,yes,yes,ble,unknown,none,,,WPRO,cancelled,2020-04-19,
SwissCOVID,Switzerland,https://play.google.com/store/apps/details?id=ch.admin.bag.dp3t&hl=en_US,yes,yes,14 days,yes,yes,yes,yes,yes,yes,yes,yes,both,yes,yes,yes,yes,ble,yes,DP3T,"500,000",3.6,EURO,released,2020-05-22,
MyLog14,Taiwan,https://devpost.com/software/mylog14,no,no,14 days,yes,yes,no,no,no,yes,no,yes,both,yes,yes,unknown,unknown,gps,unknown,none,,,WPRO,cancelled,2020-07-07,
MorChana,Thailand,https://apps.apple.com/th/app/allthaialert/id1505185420?_branch_match_id=719443404369189740&utm_source=10april&utm_campaign=10april&utm_medium=marketing,yes,unknown,unknown,yes,yes,unknown,unknown,no,no,yes,yes,both,no,unknown,no,unknown,gps,unknown,none,"100,000",4.2,SEARO,released,2020-04-01,
E7mi,Tunisia,https://www.e7mi.tn/,yes,no,14 days,yes,yes,unknown,unknown,yes,no,yes,yes,both,no,unknown,no,yes,ble,unknown,none,"10,000",4.2,EMRO,released,2020-05-09,
Hayat Eve Sığar,Turkey,https://hayatevesigar.saglik.gov.tr/,yes,unknown,unknown,no,no,no (travel),no (heatmap),no,no,yes,yes,both,no,unknown,no,unknown,ble + gps + qr code,unknown,none,"10,000,000",4.0,EMRO,released,2020-04-13,
TraceCovid,UAE,https://tracecovid.ae/,yes,no,unknown,yes,yes,unknown,yes,yes,no,yes,yes,both,yes,no,no,yes,ble,unknown,none,"100,000",3.6,EMRO,released,2020-04-05,
ALHOSN UAE,UAE,https://play.google.com/store/apps/details?id=doh.health.shield&hl=en_US,yes,no,21 days,yes,yes,unknown,yes,no,no,no,yes,both,no,unknown,no,unknown,ble,yes,none,"500,000",3.8,EMRO,released,2020-04-06,
NHS COVID-19,United Kingdom,https://play.google.com/store/apps/details?id=uk.nhs.nhsx.colocate&hl=en_US,yes,unknown,yes,yes,yes,unknown,unknown,unknown,no,no,yes,both,yes,yes,yes,yes,ble,unknown,Apple/Google,"50,000",,EURO,released,2020-08-11,
SafeTrace,United States,https://github.com/enigmampc/SafeTrace,no,no,yes,yes,yes,unknown,unknown,unknown,yes,yes,yes,both,yes,yes,yes,yes,kml,no,TCN,,,NORAM,cancelled,,
CoronaTrace,United States,https://www.coronatrace.org/,no,no,28 days,yes,yes,unknown,unknown,unknown,no,yes,yes,both,yes,yes,yes,na,gps,no,SafePaths,,,NORAM,development,,
Coalition,United States,http://CoalitionNetwork.org,no,no,15 days,yes,yes,yes,yes,yes,yes,yes,yes,both,yes,yes,yes,yes,ble,yes,Whisper,"1,000",4.2,NORAM,released,2020-04-10,
Contact Tracing,United States,https://apps.apple.com/us/app/contact-tracing/id1504531104,no,no,14 days,yes,yes,unknown,unknown,no,no,yes,yes,both,no,yes,unknown,unknown,gps,unknown,none,,,NORAM,released,2020-04-04,
SafePass,United States,https://citizen.com/safepass,no,no,30 days,yes,yes,unknown,no,no,no,no,yes,both,no,yes,no,unknown,ble,yes,none,"1,000,000",4.4,NORAM,released,2020-06-25,
CoEpi,United States,https://www.coepi.org,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,both,yes,yes,yes,yes,ble,no,TCN,,,NORAM,development,,
Safe2,United States,https://safe2.org/,no,no,14 days,yes,yes,unknown,no (heatmap),yes,yes,yes,yes,both,no,yes,yes,yes,ble + gps,no,Safe2,,,NORAM,development,,
COVID Watch,United States,https://www.covid-watch.org/,no,no,yes,yes,yes,unknown,unknown,unknown,yes,yes,yes,both,yes,yes,yes,yes,ble,unknown,TCN,,,NORAM,development,,
NOVID,United States,https://www.novid.org/,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,both,yes,yes,yes,yes,ble + ultrasound,unknown,TCN,"10,000",4.2,NORAM,released,2020-05-01,
Opendemic,United States,https://www.opendemic.org/,no,no,unknown,yes,yes,yes,unknown,yes,yes,yes,yes,both,no,unknown,na,na,gps,no,none,,,NORAM,cancelled,2020-03-17,
ZeroBase,United States,https://www.zerobase.io/,no,no,unknown,yes,yes,unknown,unknown,yes,no,yes,yes,both,no,unknown,no,na,qr code,unknown,none,,,NORAM,released,2020-04-05,
GuideSafe,United States (AL),https://www.guidesafe.org/exposure-notification-app/#signup,yes,no,14 days,yes,yes,yes,yes,yes,no,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"100,000",3.5,NORAM,released,2020-08-11,
Covid Watch Arizona,United States (AZ),https://www.covidwatch.org/,yes,no,14 days,yes,yes,yes,yes,yes,yes,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"5,000",3.8,NORAM,released,2020-08-06,
CA Notify,United States (CA),https://canotify.uchealth.edu/,yes,no,14 days,yes,yes,yes,yes,yes,no,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"500,000",3.4,NORAM,development,2020-12-07,
CO Exposure Notifications,United States (CO),https://covid19.colorado.gov/Exposure-notifications,yes,no,14 days,yes,yes,yes,yes,yes,no,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"100,000",3.3,NORAM,released,2020-10-18,
COVID Alert CT,United States (CT),https://portal.ct.gov/coronavirus/covidalertCT/homepage,yes,no,14 days,yes,yes,yes,yes,yes,no,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"50,000",3.8,NORAM,released,2020-10-29,
DC CAN,United States (DC),https://coronavirus.dc.gov/dccan,yes,no,14 days,yes,yes,yes,yes,yes,no,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"10,000",4.1,NORAM,released,2020-10-14,
COVID Alert DE,United States (DE),https://coronavirus.delaware.gov/covidalert/,yes,no,14 days,yes,yes,yes,yes,yes,no,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"10,000",4.3,NORAM,released,2020-09-13,
Guam COVID Alert,United States (Guam),https://guamcovidalert.guam.gov/,yes,no,14 days,yes,yes,yes,yes,yes,no,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"10,000",4.4,WPRO,released,2020-08-25,
AlohaSafe Alert,United States (HI),http://alohasafealert.org/,yes,no,14 days,yes,yes,yes,yes,yes,no,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"1,000",4.4,NORAM,released,2020-11-10,
COVID Defense,United States (LA),https://www.coviddefensela.com/,yes,no,14 days,yes,yes,yes,yes,yes,yes,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"5,000",4.1,NORAM,released,2021-01-18,
MD COVID Alert,United States (MD),https://covidlink.maryland.gov/content/mdcovidalert/,yes,no,14 days,yes,yes,yes,yes,yes,no,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"100,000",3.5,NORAM,released,2020-11-09,
MI COVID Alert,United States (MI),"https://www.michigan.gov/coronavirus/0,9753,7-406-99891_102592---,00.html",yes,no,14 days,yes,yes,yes,yes,yes,no,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"100,000",3.2,NORAM,released,2020-10-12,
COVIDaware MN,United States (MN),https://covidawaremn.com/,yes,no,14 days,yes,yes,yes,yes,yes,yes,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"100,000",3.5,NORAM,released,2020-11-17,
SlowCOVIDNC,United States (NC),https://covid19.ncdhhs.gov/slowcovidnc,yes,no,14 days,yes,yes,yes,yes,yes,no,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"100,000",4.0,NORAM,released,2020-09-15,
Care19 Alert,"United States (ND, WY)",https://www.care19.app/,yes,no,14 days,yes,yes,yes,no,yes,no,yes,yes,both,no,yes,yes,yes,ble,yes,Apple/Google,"10,000",3.4,NORAM,released,2020-08-11,
COVID Alert NJ,United States (NJ),https://covid19.nj.gov/pages/app,yes,no,14 days,yes,yes,yes,yes,yes,no,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"100,000",4.2,NORAM,released,2020-09-23,
COVID Trace Nevada,United States (NV),https://nvhealthresponse.nv.gov/covidtrace/,yes,no,14 days,yes,yes,yes,yes,yes,no,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"50,000",3.1,NORAM,released,2020-08-21,
COVID Alert NY,United States (NY),https://coronavirus.health.ny.gov/covid-alert-ny/,yes,no,14 days,yes,yes,yes,no,no,no,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"500,000",3.9,NORAM,released,2020-09-29,
Oregon Exposure Notifications,United States (OR),https://covid.oregonstate.edu/exposure,yes,no,14 days,yes,yes,yes,yes,yes,no,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,,,NORAM,development,,
COVID Alert PA,United States (PA),https://www.pa.gov/covid/covid-alert-pa/,yes,no,14 days,yes,yes,yes,yes,no,no,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"50,000",4.2,NORAM,released,2020-09-10,
Rastrea El Virus,United States (PR),https://rastreaelvirus.com/,yes,no,14 days,yes,yes,yes,no,no,no,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,100,,NORAM,development,,
COVIDWISE,United States (VA),https://www.vdh.virginia.gov/covidwise/,yes,no,14 days,yes,yes,yes,yes,yes,no,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"100,000",4.3,NORAM,released,2020-08-03,
WA Notify,United States (WA),https://wanotify.uw.edu/index.html,yes,no,14 days,yes,yes,yes,yes,yes,no,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"100,000",3.6,NORAM,released,2020-10-28,
WI Exposure Notification,United States (WI),https://www.dhs.wisconsin.gov/covid-19/notification.htm,yes,no,14 days,yes,yes,yes,yes,yes,no,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"100,000",3.9,NORAM,released,2020-12-20,
Coronavirus UY,Uruguay,https://www.gub.uy/ministerio-salud-publica/coronavirus,yes,no,14 days,yes,yes,unknown,unknown,unknown,no,yes,yes,both,yes,unknown,yes,yes,ble,yes,Apple/Google,"500,000",3.8,LATAM,released,2020-03-19,
NCOVI,Viet Nam,https://ncov.moh.gov.vn/,yes,no,unknown,no,no,no,no (quarantine),no,no,no,yes,both,no,no,no,na,qr code,unknown,none,"1,000,000",7,WPRO,released,2020-03-11,
BlueZone,Vietnam,https://bluezone.ai/,yes,no,14 days,yes,yes,yes,yes,yes,yes,yes,yes,both,yes,yes,no,no,ble,yes,none,"100,000",4.1,WPRO,released,2020-04-17,