Name,Country,Links,government,1.1. App has defined lifetime,1.2. Data storage is time-limited,2.1. Opt-in download and use,2.2. Opt-in data sharing,2.3. Not tied to other benefits,3.1. Data used only for establishing contacts,3.2. No PII collection,4.1. Open source,4.2. Published privacy policy,5.1. Freely available,5.2. Android and iOS (when necessary),6.1. Decentralized storage,6.2. Can erase data,7.1. Decentralized matching,7.2. Rotating randomized beacon,"8.1. Contact accuracy (BLE, not GPS or other)",8.2. Positive cases verified by test,protocol,Installs (Google Play),Average Rating (Google Play),who_region,status,date_released,date_cancelled,has_protocol,state,protocol_other,score
COVID Alert Malta,Malta,https://covidalert.gov.mt/,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,DP3T,"50,000",4.3,EURO,released,2020-09-02,,yes,,DP3T/TCN,7.5
CovidRadar,Mexico,http://covidradar.mx/,yes,no,no,yes,yes,no,no,yes,no,yes,yes,yes,no,no,no,no,yes,no,none,,,LATAM,released,2020-04-19,,no,,none,3.1666666666666665
Wiqaytna,Morocco,https://www.wiqaytna.ma/Default_Fr.aspx,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,none,"1,000,000",4.3,EMRO,released,2020-05-31,,no,,none,7.5
PrivateTracer,Netherlands,https://www.privatetracer.org/,no,no,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,DP3T,,,EURO,cancelled,,,yes,,DP3T/TCN,5.5
CoronaMelder,Netherlands,https://www.coronamelder.nl/en/,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,"1,000,000",3.0,EURO,released,2020-08-15,,yes,,Apple/Google,7.0
NZ COVID Tracer,New Zealand,https://tracing.covid19.govt.nz/,yes,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,no,no,no,yes,none,"100,000",2.2,WPRO,released,2020-05-20,,no,,none,4.666666666666666
StopKorona!,North Macedonia,https://stop.koronavirus.gov.mk/,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,no,yes,yes,none,"50,000",3.1,EURO,released,2020-04-12,,no,,none,5.5
StopCOVID NI,Northern Ireland,https://covid-19.hscni.net/stop-covid-ni-mobile-app/,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,"100,000",3.3,EURO,released,2020-07-28,,yes,,Apple/Google,7.5
Smittestopp,Norway,https://helsenorge.no/smittestopp,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,no,no,no,yes,none,"100,000",2.2,EURO,released,2020-04-16,,no,,none,4.5
PeruEnTusManos,Peru,https://play.google.com/store/apps/details?id=peruentusmanos.gob.pe,yes,no,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,none,"1,000,000",2.9,LATAM,released,2020-04-03,,no,,none,2.1666666666666665
"
StaySafe PH",Philippines,https://www.staysafe.ph/,no,no,no,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,none,"100,000",3.9,WPRO,released,2020-05-04,,no,,none,2.1666666666666665
ENDCoV,Philippines,https://endcov.org/,no,no,no,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,none,"5,000",3.8,WPRO,released,2020-03-27,,no,,none,2.1666666666666665
WeTrace PH,Philippines,https://www.wetrace.ph/,yes,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,none,"5,000",3.2,WPRO,released,2020-04-05,,no,,none,2.0
ProteGO Safe,Poland,https://play.google.com/store/apps/details?id=pl.gov.mc.protegosafe&hl=en_US,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,"100,000",3.1,EURO,released,2020-04-19,,yes,,Apple/Google,7.5
STAYAWAY COVID,Portugal,https://stayawaycovid.pt/landing-page/,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,"1,000,000",2.8,EURO,released,2020-08-20,,yes,,Apple/Google,7.0
Ehteraz,Qatar,https://portal.www.gov.qa/wps/portal/media-center/news/news-details/todeterminecoronavirustransmissionchainsehterazappisnowavailablefordownload,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,none,"1,000,000",3.7,EMRO,released,2020-04-25,,no,,none,1.0
Contact Tracer,Russia,https://contacttracer.ru/,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,none,,,EURO,released,,,no,,none,0.5
Social Monitoring,Russia,https://play.google.com/store/apps/details?id=ru.mos.app,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,yes,none,"500,000",4.1,EURO,released,2020-03-25,,no,,none,2.0
Tabaud,Saudi Arabia,https://tabaud.sdaia.gov.sa/,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,Apple/Google,"500,000",4.4,EMRO,released,2020-06-12,,yes,,Apple/Google,6.5
Tawakkalna,Saudi Arabia,https://play.google.com/store/apps/details?id=sa.gov.nic.tawakkalna&hl=en_CA,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,none,"1,000,000",4.7,EMRO,released,2020-04-06,,no,,none,1.0
Protect Scotland,Scotland,https://protect.scot/,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,"500,000",3.7,EURO,released,2020-09-06,,yes,,Apple/Google,7.5
Daancovid19,Senegal,https://daancovid19.sn/,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,Whisper,,,AFRO,cancelled,,,yes,,other,6.166666666666666
TraceTogether,Singapore,https://www.tracetogether.gov.sg/,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,OpenTrace,"1,000,000",4.2,WPRO,released,2020-02-18,,yes,,other,7.0
CovCT,Singapore,https://covct.org/,no,no,no,no,no,yes,yes,no,no,yes,yes,yes,no,yes,no,no,no,yes,none,,,WPRO,released,,,no,,none,3.333333333333333
Zostaň Zdravý,Slovakia,https://www.zostanzdravy.sk/,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,yes,no,none,,,EURO,released,2020-03-16,,no,,none,3.1666666666666665
#OstaniZdrav,Slovenia,https://www.gov.si/en/topics/coronavirus-disease-covid-19/the-ostanizdrav-mobile-application/,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,"100,000",2.2,EURO,released,2020-08-11,,yes,,Apple/Google,7.0
Covi-ID,South Africa,https://coviid.me/,no,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,none,100,,AFRO,cancelled,2020-04-30,,no,,none,5.666666666666666
COVID Alert South Africa,South Africa,https://sacoronavirus.co.za/covidalert/,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,"1,000,000",3.5,AFRO,released,2020-08-16,,yes,,Apple/Google,7.0
Corona 100m (Co100),South Korea,https://play.google.com/store/apps/details?id=com.tina3d.corona100m&hl=en_US,yes,no,no,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no,yes,none,,,WPRO,released,,,no,,none,2.6666666666666665
Open Coronavirus,Spain,https://opencoronavirus.app/,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,DP3T,,,EURO,released,,,yes,,DP3T/TCN,6.666666666666666
Radar COVID,Spain,https://radarcovid.gob.es/,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,DP3T,"1,000,000",2.8,EURO,released,2020-06-27,,yes,,DP3T/TCN,7.5
WeTrace,Switzerland,https://wetrace.ch/,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,none,,,WPRO,cancelled,2020-04-19,,no,,none,6.666666666666666
SwissCOVID,Switzerland,https://play.google.com/store/apps/details?id=ch.admin.bag.dp3t&hl=en_US,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,DP3T,"500,000",3.6,EURO,released,2020-05-22,,yes,,DP3T/TCN,8.0
MyLog14,Taiwan,https://devpost.com/software/mylog14,no,no,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,no,no,no,no,none,,,WPRO,cancelled,2020-07-07,,no,,none,3.6666666666666665
MorChana,Thailand,https://apps.apple.com/th/app/allthaialert/id1505185420?_branch_match_id=719443404369189740&utm_source=10april&utm_campaign=10april&utm_medium=marketing,yes,no,no,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,none,"100,000",4.2,SEARO,released,2020-04-01,,no,,none,2.1666666666666665
E7mi,Tunisia,https://www.e7mi.tn/,yes,no,yes,yes,yes,no,no,yes,no,yes,yes,yes,no,no,no,yes,yes,no,none,"10,000",4.2,EMRO,released,2020-05-09,,no,,none,4.166666666666666
Hayat Eve Sığar,Turkey,https://hayatevesigar.saglik.gov.tr/,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,none,"10,000,000",4.0,EMRO,released,2020-04-13,,no,,none,1.5
TraceCovid,UAE,https://tracecovid.ae/,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,yes,yes,no,none,"100,000",3.6,EMRO,released,2020-04-05,,no,,none,4.666666666666666
ALHOSN UAE,UAE,https://play.google.com/store/apps/details?id=doh.health.shield&hl=en_US,yes,no,yes,yes,yes,no,yes,no,no,no,yes,yes,no,no,no,no,yes,yes,none,"500,000",3.8,EMRO,released,2020-04-06,,no,,none,3.6666666666666665
NHS COVID-19,United Kingdom,https://play.google.com/store/apps/details?id=uk.nhs.nhsx.colocate&hl=en_US,yes,no,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,Apple/Google,"50,000",,EURO,released,2020-08-11,,yes,,Apple/Google,4.666666666666666
SafeTrace,United States,https://github.com/enigmampc/SafeTrace,no,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,TCN,,,NORAM,cancelled,,,yes,,DP3T/TCN,5.166666666666666
CoronaTrace,United States,https://www.coronatrace.org/,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,no,no,SafePaths,,,NORAM,development,,,yes,,other,4.166666666666666
Coalition,United States,http://CoalitionNetwork.org,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Whisper,"1,000",4.2,NORAM,released,2020-04-10,,yes,,other,7.5
Contact Tracing,United States,https://apps.apple.com/us/app/contact-tracing/id1504531104,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,no,yes,no,no,no,no,none,,,NORAM,released,2020-04-04,,no,,none,3.1666666666666665
SafePass,United States,https://citizen.com/safepass,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,no,yes,no,no,yes,yes,none,"1,000,000",4.4,NORAM,released,2020-06-25,,no,,none,3.6666666666666665
CoEpi,United States,https://www.coepi.org,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,TCN,,,NORAM,development,,,yes,,DP3T/TCN,7.0
Safe2,United States,https://safe2.org/,no,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,Safe2,,,NORAM,development,,,yes,,other,5.166666666666666
COVID Watch,United States,https://www.covid-watch.org/,no,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,TCN,,,NORAM,development,,,yes,,DP3T/TCN,5.666666666666666
NOVID,United States,https://www.novid.org/,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,TCN,"10,000",4.2,NORAM,released,2020-05-01,,yes,,DP3T/TCN,6.0
Opendemic,United States,https://www.opendemic.org/,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,none,,,NORAM,cancelled,2020-03-17,,no,,none,3.5
ZeroBase,United States,https://www.zerobase.io/,no,no,no,yes,yes,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,none,,,NORAM,released,2020-04-05,,no,,none,2.6666666666666665
GuideSafe,United States,https://www.guidesafe.org/exposure-notification-app/#signup,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,"100,000",3.5,NORAM,released,2020-08-11,,yes,AL,Apple/Google,7.0
Covid Watch Arizona,United States,https://www.covidwatch.org/,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,"5,000",3.8,NORAM,released,2020-08-06,,yes,AZ,Apple/Google,7.5
CA Notify,United States,https://canotify.uchealth.edu/,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,"500,000",3.4,NORAM,development,2020-12-07,,yes,CA,Apple/Google,7.0
CO Exposure Notifications,United States,https://covid19.colorado.gov/Exposure-notifications,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,"100,000",3.3,NORAM,released,2020-10-18,,yes,CO,Apple/Google,7.0
COVID Alert CT,United States,https://portal.ct.gov/coronavirus/covidalertCT/homepage,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,"50,000",3.8,NORAM,released,2020-10-29,,yes,CT,Apple/Google,7.0
DC CAN,United States,https://coronavirus.dc.gov/dccan,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,"10,000",4.1,NORAM,released,2020-10-14,,yes,DC,Apple/Google,7.0
COVID Alert DE,United States,https://coronavirus.delaware.gov/covidalert/,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,"10,000",4.3,NORAM,released,2020-09-13,,yes,DE,Apple/Google,7.0
Guam COVID Alert,United States,https://guamcovidalert.guam.gov/,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,"10,000",4.4,WPRO,released,2020-08-25,,yes,Guam,Apple/Google,7.0
AlohaSafe Alert,United States,http://alohasafealert.org/,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,"1,000",4.4,NORAM,released,2020-11-10,,yes,HI,Apple/Google,7.0
COVID Defense,United States,https://www.coviddefensela.com/,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,"5,000",4.1,NORAM,released,2021-01-18,,yes,LA,Apple/Google,7.5
MD COVID Alert,United States,https://covidlink.maryland.gov/content/mdcovidalert/,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,"100,000",3.5,NORAM,released,2020-11-09,,yes,MD,Apple/Google,7.0
MI COVID Alert,United States,"https://www.michigan.gov/coronavirus/0,9753,7-406-99891_102592---,00.html",yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,"100,000",3.2,NORAM,released,2020-10-12,,yes,MI,Apple/Google,7.0
COVIDaware MN,United States,https://covidawaremn.com/,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,"100,000",3.5,NORAM,released,2020-11-17,,yes,MN,Apple/Google,7.5
SlowCOVIDNC,United States,https://covid19.ncdhhs.gov/slowcovidnc,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,"100,000",4.0,NORAM,released,2020-09-15,,yes,NC,Apple/Google,7.0
Care19 Alert,United States,https://www.care19.app/,yes,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,Apple/Google,"10,000",3.4,NORAM,released,2020-08-11,,yes,"ND, WY",Apple/Google,6.0
COVID Alert NJ,United States,https://covid19.nj.gov/pages/app,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,"100,000",4.2,NORAM,released,2020-09-23,,yes,NJ,Apple/Google,7.0
COVID Trace Nevada,United States,https://nvhealthresponse.nv.gov/covidtrace/,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,"50,000",3.1,NORAM,released,2020-08-21,,yes,NV,Apple/Google,7.0
COVID Alert NY,United States,https://coronavirus.health.ny.gov/covid-alert-ny/,yes,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,"500,000",3.9,NORAM,released,2020-09-29,,yes,NY,Apple/Google,6.0
Oregon Exposure Notifications,United States,https://covid.oregonstate.edu/exposure,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,,,NORAM,development,,,yes,OR,Apple/Google,7.0
COVID Alert PA,United States,https://www.pa.gov/covid/covid-alert-pa/,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,"50,000",4.2,NORAM,released,2020-09-10,,yes,PA,Apple/Google,6.5
Rastrea El Virus,United States,https://rastreaelvirus.com/,yes,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,100,,NORAM,development,,,yes,PR,Apple/Google,6.0
COVIDWISE,United States,https://www.vdh.virginia.gov/covidwise/,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,"100,000",4.3,NORAM,released,2020-08-03,,yes,VA,Apple/Google,7.0
WA Notify,United States,https://wanotify.uw.edu/index.html,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,"100,000",3.6,NORAM,released,2020-10-28,,yes,WA,Apple/Google,7.0
WI Exposure Notification,United States,https://www.dhs.wisconsin.gov/covid-19/notification.htm,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,"100,000",3.9,NORAM,released,2020-12-20,,yes,WI,Apple/Google,7.0
Coronavirus UY,Uruguay,https://www.gub.uy/ministerio-salud-publica/coronavirus,yes,no,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,Apple/Google,"500,000",3.8,LATAM,released,2020-03-19,,yes,,Apple/Google,5.166666666666666
NCOVI,Viet Nam,https://ncov.moh.gov.vn/,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,none,"1,000,000",7.0,WPRO,released,2020-03-11,,no,,none,1.0
BlueZone,Vietnam,https://bluezone.ai/,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,none,"100,000",4.1,WPRO,released,2020-04-17,,no,,none,6.5
