name,type,date,location,actors,description,link,Attachments
Apple/Google announce API,contact tracing,2020-04-10,Global,"Apple, Google",,https://www.apple.com/newsroom/2020/04/apple-and-google-partner-on-covid-19-contact-tracing-technology/,
Germany switches to decentralized,contact tracing,2020-04-26,Germany,German government,,https://www.mobihealthnews.com/news/asia-pacific/singapore-government-launches-new-app-contact-tracing-combat-spread-covid-19,
Singapore releases TraceTogether,contact tracing,2020-03-20,Singapore,Singapore government,,https://www.mobihealthnews.com/news/asia-pacific/singapore-government-launches-new-app-contact-tracing-combat-spread-covid-19,
First case of COVID-19 reported to WHO,covid-19,2019-12-30,China,,,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/events-as-they-happen,
COVID-19 reaches 1 million cases globally,covid-19,2020-04-02,Global,,,https://www.cnbc.com/2020/04/02/worldwide-coronavirus-cases-reach-1-million-doubling-in-a-week.html,
WHO declares COVID-19 a global pandemic,covid-19,2020-03-11,Global,WHO,,https://www.theguardian.com/world/2020/mar/11/who-declares-coronavirus-pandemic,
Australia releases COVIDSafe,contact tracing,2020-04-26,Australia,Australian Government,,https://www.itnews.com.au/news/australia-launches-covidsafe-contact-tracing-app-547221,
NHS announces contact tracing app,contact tracing,2020-05-04,UK,UK NHS,,https://www.ft.com/content/e82b5fbe-7097-4a32-9453-0cae1ef15379,
DP3T white paper published,contact tracing,2020-04-03,EU,Various European academics,,https://github.com/DP-3T/documents/blob/master/DP3T%20White%20Paper.pdf,
,,,,,,,